,video,release,video_start,video_end
0,1,4300.0,-200.0,8800.0
1,2,15366.666666666668,10866.666666666668,19866.666666666668
2,3,27800.0,23300.0,32300.0
3,4,36866.666666666664,32366.666666666664,41366.666666666664
4,5,45833.333333333336,41333.333333333336,50333.333333333336
5,6,50433.33333333333,45933.33333333333,54933.33333333333
6,7,59699.99999999999,55199.99999999999,64199.99999999999
7,8,67700.0,63200.0,72200.0
8,9,79666.66666666667,75166.66666666667,84166.66666666667
9,10,85066.66666666666,80566.66666666666,89566.66666666666
10,11,98566.66666666666,94066.66666666666,103066.66666666666
11,12,106200.0,101700.0,110700.0
12,13,110866.66666666666,106366.66666666666,115366.66666666666
13,14,118200.0,113700.0,122700.0
14,15,125866.66666666666,121366.66666666666,130366.66666666666
15,16,131433.33333333334,126933.33333333334,135933.33333333334
16,17,138300.0,133800.0,142800.0
17,18,147500.0,143000.0,152000.0
18,19,157900.0,153400.0,162400.0
19,20,168466.66666666666,163966.66666666666,172966.66666666666
20,21,179466.66666666666,174966.66666666666,183966.66666666666
